"index" "college" "visits" "amount"
"815" "Statesboro " 0 0
"816" "Georgia Southern University" 0 0
"817" "East Georgia State College" 0 0
"818" "Swainsboro " 0 0
"819" "East Georgia State College" 0 0
"820" "Southeastern Technical College" 0 0
"821" "Valdosta " 0 0
"822" "Valdosta State University" 0 0
"823" "Vidalia " 0 0
"824" "Southeastern Technical College" 0 0
"825" "Waleska " 0 0
"826" "Reinhardt College" 0 0
"827" "Watkinsville " 0 0
"828" "University of North Georgia" 0 0
"829" "Young Harris " 0 0
"830" "Young Harris College" 0 0
"831" "Hawaii[edit]" 0 0
"832" "Honolulu " 0 0
"833" "University of Hawaii at Manoa" 0 0
"834" "Laie " 0 0
"835" "Brigham Young University-Hawai'i" 0 0
"836" "Idaho[edit]" 0 0
"837" "Boise " 0 0
"838" "Boise State University" 0 0
"839" "University of Idaho - satellite campus" 0 0
"840" "Idaho State University - satellite campus" 0 0
"841" "Concordia University School of Law" 0 0
"842" "Caldwell " 0 0
"843" "College of Idaho" 0 0
"844" "Lewiston " 0 0
"845" "Lewis-Clark State College" 0 0
"846" "Moscow " 0 0
"847" "University of Idaho" 0 0
"848" "Nampa " 0 0
"849" "Northwest Nazarene University" 0 0
"850" "Pocatello " 0 0
"851" "Idaho State University" 0 0
"852" "Rexburg " 0 0
"853" "BYU-Idaho" 0 0
"854" "Illinois[edit]" 0 0
"855" "Alton " 0 0
"856" "Southern Illinois University School of Dental Medicine" 0 0
"857" "Aurora" 0 0
"858" "Carbondale " 0 0
"859" "Southern Illinois University Carbondale" 0 0
"860" "Champaign–Urbana " 0 0
"861" "University of Illinois" 0 0
"862" "Charleston " 0 0
"863" "Eastern Illinois University" 0 0
"864" "Chicago :" 0 0
"865" "North Park " 0 0
"866" "Northeastern Illinois University" 0 0
"867" "Roseland " 0 0
"868" "Chicago State University" 0 0
"869" "University Village/Little Italy " 0 0
"870" "University of Illinois at Chicago" 0 0
"871" "Deerfield " 0 0
"872" "Trinity International University" 0 0
"873" "DeKalb " 0 0
"874" "Northern Illinois University" 0 0
"875" "Downers Grove " 0 0
"876" "Midwestern University" 0 0
"877" "Edwardsville " 0 0
"878" "Southern Illinois University Edwardsville" 0 0
"879" "Elgin " 0 0
"880" "Judson University" 0 0
"881" "Evanston " 0 0
"882" "Northwestern University" 0 0
"883" "Joliet " 0 0
"884" "University of St. Francis" 0 0
"885" "Lebanon " 0 0
"886" "McKendree University" 0 0
"887" "Macomb " 0 0
"888" "Western Illinois University" 0 0
"889" "Moline " 0 0
"890" "Western Illinois University-Quad Cities" 0 0
"891" "Naperville " 0 0
"892" "North Central College" 0 0
"893" "Northern Illinois University satellite campus" 0 0
"894" "DePaul University satellite campus" 0 0
"895" "College of DuPage Naperville Regional Center" 0 0
"896" "Governors State University satellite campus" 0 0
"897" "Northwestern College Naperville campus" 0 0
"898" "University of Illinois at Urbana–Champaign Business & Industry Services campus" 0 0
"899" "Normal " 0 0
"900" "Illinois State University" 0 0
"901" "Peoria " 0 0
"902" "Bradley University" 0 0
"903" "River Forest " 0 0
"904" "Dominican University" 0 0
"905" "Concordia University" 0 0
"906" "Rock Island " 0 0
"907" "Augustana College" 0 0
"908" "Rockford " 0 0
"909" "Rockford University" 0 0
"910" "Springfield " 0 0
"911" "University of Illinois at Springfield" 0 0
"912" "University Park " 0 0
"913" "Governors State University" 0 0
"914" "Indiana[edit]" 0 0
"915" "Angola " 0 0
"916" "Trine University" 0 0
"917" "Bloomington " 0 0
"918" "Indiana University Bloomington" 0 0
"919" "Columbus " 0 0
"920" "Indiana University – Purdue University Columbus" 0 0
"921" "Crawfordsville " 0 0
"922" "Wabash College" 0 0
"923" "Fort Wayne " 0 0
"924" "Indiana University – Purdue University Fort Wayne" 0 0
"925" "Gary " 0 0
"926" "Indiana University Northwest" 0 0
"927" "Greencastle " 0 0
"928" "DePauw University" 0 0
"929" "Hanover " 0 0
"930" "Hanover College" 0 0
"931" "Indianapolis " 0 0
"932" "Indiana University – Purdue University Indianapolis" 0 0
"933" "Kokomo " 0 0
"934" "Indiana University Kokomo" 0 0
"935" "Marion " 0 0
"936" "Indiana Wesleyan University" 0 0
"937" "Muncie " 0 0
"938" "Ball State University" 0 0
"939" "New Albany " 0 0
"940" "Indiana University Southeast" 0 0
"941" "Notre Dame " 0 0
"942" "University of Notre Dame" 0 0
"943" "Saint Mary's College" 0 0
"944" "and Holy Cross College" 0 0
"945" "Oakland City " 0 0
"946" "Oakland City University" 0 0
"947" "Richmond " 0 0
"948" "Earlham College" 0 0
"949" "Indiana University East" 0 0
"950" "South Bend " 0 0
"951" "University of Notre Dame" 0 0
"952" "Indiana University South Bend" 0 0
"953" "Terre Haute " 0 0
"954" "Indiana State University" 0 0
"955" "Rose-Hulman Institute of Technology" 0 0
"956" "Upland " 0 0
"957" "Taylor University" 0 0
"958" "Valparaiso " 0 0
"959" "Valparaiso University" 0 0
"960" "West Lafayette " 0 0
"961" "Purdue University" 0 0
"962" "Iowa[edit]" 0 0
"963" "Ames " 0 0
"964" "Iowa State University" 0 0
"965" "Bettendorf " 0 0
"966" "Upper Iowa University – satellite campus" 0 0
"967" "Cedar Falls " 0 0
"968" "University of Northern Iowa" 0 0
"969" "Cedar Rapids " 0 0
"970" "Coe College" 0 0
"971" "Davenport " 0 0
"972" "Saint Ambrose University" 0 0
"973" "Hamilton Technical College" 0 0
"974" "Decorah " 0 0
"975" "Luther College" 0 0
"976" "Des Moines " 0 0
"977" "Drake University" 0 0
"978" "Grand View University" 0 0
"979" "Mercy College of Health Sciences" 0 0
"980" "University of Iowa two satellite facilities" 0 0
"981" "AIB College of Business" 0 0
"982" "Des Moines University" 0 0
"983" "Fayette " 0 0
"984" "Upper Iowa University" 0 0
"985" "Grinnell " 0 0
"986" "Grinnell College" 0 0
"987" "Indianola " 0 0
"988" "Simpson College" 0 0
"989" "Iowa City " 0 0
"990" "University of Iowa" 0 0
"991" "Lamoni " 0 0
"992" "Graceland University" 0 0
"993" "Mount Vernon " 0 0
"994" "Cornell College" 0 0
"995" "Orange City " 0 0
"996" "Northwestern College" 0 0
"997" "Oskaloosa " 0 0
"998" "William Penn University" 0 0
"999" "Sioux Center " 0 0
"1000" "Dordt College" 0 0
"1001" "Storm Lake " 0 0
"1002" "Buena Vista University" 0 0
"1003" "Waverly " 0 0
"1004" "Wartburg College" 0 0
"1005" "Kansas[edit]" 0 0
"1006" "Baldwin City " 0 0
"1007" "Baker University" 0 0
"1008" "Emporia " 0 0
"1009" "Emporia State University" 0 0
"1010" "Hays " 0 0
"1011" "Fort Hays State University" 0 0
"1012" "Kansas City " 0 0
"1013" "Donnelly College" 0 0
"1014" "Kansas Christian College" 0 0
"1015" "University of Kansas Medical Center " 0 0
"1016" "home of KU's Schools of Medicine" 0 0
"1017" "Nursing and Allied Health" 0 0
"1018" "Lawrence " 0 0
"1019" "University of Kansas" 0 0
"1020" "Haskell Indian Nations University" 0 0
"1021" "Manhattan " 0 0
"1022" "Kansas State University" 0 0
"1023" "Manhattan Christian College" 0 0
"1024" "Olathe " 0 0
"1025" "MidAmerica Nazarene University" 0 0
"1026" "Overland Park " 0 0
"1027" "Ottawa University adult campus" 0 0
"1028" "University of Kansas-Edwards Campus" 0 0
"1029" "Baker University Overland Park Campus" 0 0
"1030" "Emporia State University - Overland Park Campus " 0 0
"1031" "Metro Learning Center" 0 0
"1032" "Kansas Christian College" 0 0
"1033" "Rasmussen College" 0 0
"1034" "Pittsburg " 0 0
"1035" "Pittsburg State University" 0 0
"1036" "Topeka " 0 0
"1037" "Washburn University" 0 0
"1038" "Friends University" 0 0
"1039" "Washburn Institute of Technology " 0 0
"1040" "Formerly Kaw Area Technical School" 0 0
"1041" "Baker University School of Nursing" 0 0
"1042" "Wichita " 0 0
"1043" "Wichita State University " 0 0
"1044" "WSU" 0 0
"1045" "Friends University - main campus" 0 0
"1046" "Newman University" 0 0
"1047" "University of Kansas School of Medicine - Wichita campus" 0 0
"1048" "Kentucky[edit]" 0 0
"1049" "Barbourville " 0 0
"1050" "Union College" 0 0
"1051" "Berea " 0 0
"1052" "Berea College" 0 0
"1053" "Bowling Green " 0 0
"1054" "Western Kentucky University" 0 0
"1055" "Campbellsville " 0 0
"1056" "Campbellsville University" 0 0
"1057" "Columbia " 0 0
"1058" "Lindsey Wilson College" 0 0
"1059" "Crestview Hills " 0 0
"1060" "Thomas More University" 0 0
"1061" "Danville " 0 0
"1062" "Centre College" 0 0
"1063" "Bluegrass Community and Technical College" 0 0
"1064" "Eastern Kentucky University" 0 0
"1065" "Midway University" 0 0
"1066" "American National University" 0 0
"1067" "Frankfort " 0 0
"1068" "Kentucky State University" 0 0
"1069" "Georgetown " 0 0
"1070" "Georgetown College" 0 0
"1071" "Grayson " 0 0
"1072" "Kentucky Christian University" 0 0
"1073" "Highland Heights " 0 0
"1074" "Northern Kentucky University" 0 0
"1075" "Lexington " 0 0
"1076" "University of Kentucky" 0 0
"1077" "Transylvania University" 0 0
"1078" "Louisville " 0 0
"1079" "University of Louisville" 0 0
"1080" "Bellarmine University" 0 0
"1081" "Simmons College of Kentucky" 0 0
"1082" "Spalding University" 0 0
"1083" "Sullivan University" 0 0
"1084" "Midway " 0 0
"1085" "Midway University" 0 0
"1086" "Morehead " 0 0
"1087" "Morehead State University" 0 0
"1088" "Murray " 0 0
"1089" "Murray State University" 0 0
"1090" "Owensboro " 0 0
"1091" "Brescia University" 0 0
"1092" "Kentucky Wesleyan College" 0 0
"1093" "Western Kentucky University-Owensboro" 0 0
"1094" "Pikeville " 0 0
"1095" "University of Pikeville" 0 0
"1096" "Richmond " 0 0
"1097" "Eastern Kentucky University" 0 0
"1098" "Williamsburg " 0 0
"1099" "University of the Cumberlands" 0 0
"1100" "Wilmore " 0 0
"1101" "Asbury University" 0 0
"1102" "Asbury Theological Seminary" 0 0
"1103" "Louisiana[edit]" 0 0
"1104" "Baton Rouge " 0 0
"1105" "Louisiana State University" 0 0
"1106" "Southern University and A&M College" 0 0
"1107" "Southern University Law Center" 0 0
"1108" "Grambling " 0 0
"1109" "Grambling State University" 0 0
"1110" "Hammond " 0 0
"1111" "Southeastern Louisiana University" 0 0
"1112" "Lafayette " 0 0
"1113" "University of Louisiana at Lafayette" 0 0
"1114" "Metairie" 1 19.05
"1115" "Monroe " 0 0
"1116" "University of Louisiana at Monroe" 0 0
"1117" "Natchitoches " 0 0
"1118" "Northwestern State University" 0 0
"1119" "New Orleans " 0 0
"1120" "Tulane University" 0 0
"1121" "Loyola University New Orleans" 0 0
"1122" "University of New Orleans" 0 0
"1123" "Xavier University of Louisiana" 0 0
"1124" "Southern University at New Orleans" 0 0
"1125" "Dillard University" 0 0
"1126" "Louisiana State University Health Sciences Center New Orleans" 0 0
"1127" "Our Lady of Holy Cross College" 0 0
"1128" "Delgado Community College" 0 0
"1129" "William Carey College School of Nursing" 0 0
"1130" "Herzing College" 0 0
"1131" "Ruston " 0 0
"1132" "Louisiana Tech University" 0 0
"1133" "Shreveport " 0 0
"1134" "Southern University at Shreveport" 0 0
"1135" "Thibodaux " 0 0
"1136" "Nicholls State University" 0 0
"1137" "Maine[edit]" 0 0
"1138" "Augusta " 0 0
"1139" "University of Maine at Augusta" 0 0
"1140" "Bangor " 0 0
"1141" "University of Maine" 0 0
"1142" "Bar Harbor " 0 0
"1143" "College of the Atlantic" 0 0
"1144" "Biddeford " 0 0
"1145" "University of New England" 0 0
"1146" "Brunswick " 0 0
"1147" "Bowdoin College" 0 0
"1148" "Farmington " 0 0
"1149" "University of Maine at Farmington" 0 0
"1150" "Fort Kent " 0 0
"1151" "University of Maine at Fort Kent" 0 0
"1152" "Gorham " 0 0
"1153" "University of Southern Maine" 0 0
"1154" "Lewiston " 0 0
"1155" "Bates College" 0 0
"1156" "Machias " 0 0
"1157" "University of Maine at Machias" 0 0
"1158" "Orono " 0 0
"1159" "University of Maine" 0 0
"1160" "Portland " 0 0
"1161" "Maine College of Art" 0 0
"1162" "University of Maine School of Law" 0 0
"1163" "University of New England " 0 0
"1164" "formerly Westbrook College" 0 0
"1165" "University of Southern Maine" 0 0
"1166" "Presque Isle " 0 0
"1167" "University of Maine at Presque Isle" 0 0
"1168" "Waterville " 0 0
"1169" "Thomas College" 0 0
"1170" "Colby College" 0 0
"1171" "Maryland[edit]" 0 0
"1172" "Annapolis " 0 0
"1173" "United States Naval Academy" 0 0
"1174" "St. John's College" 0 0
"1175" "Baltimore " 0 0
"1176" "Johns Hopkins University" 0 0
"1177" "Baltimore International College" 0 0
"1178" "Loyola University Maryland" 0 0
"1179" "Maryland Institute College of Art" 0 0
"1180" "Notre Dame of Maryland University" 0 0
"1181" "Sojourner–Douglass College" 0 0
"1182" "Coppin State University" 0 0
"1183" "Morgan State University" 0 0
"1184" "University of Baltimore" 0 0
"1185" "University of Maryland" 0 0
"1186" "Baltimore" 0 0
"1187" "Chestertown " 0 0
"1188" "Washington College" 0 0
"1189" "College Park " 0 0
"1190" "University of Maryland" 0 0
"1191" "College Park" 2 38.75
"1192" "Columbia " 0 0
"1193" "University of Phoenix" 0 0
"1194" "Lincoln Technical Institute" 0 0
"1195" "Loyola University Maryland" 0 0
"1196" "University of Maryland" 0 0
"1197" "Baltimore County" 0 0
"1198" "Maryland University of Integrative Health" 0 0
"1199" "and Johns Hopkins University" 0 0
"1200" "Cumberland " 0 0
"1201" "Allegany College of Maryland" 0 0
"1202" "Emmitsburg " 0 0
"1203" "Mount St. Mary's University" 0 0
"1204" "Frostburg " 0 0
"1205" "Frostburg State University" 0 0
"1206" "Germantown " 0 0
"1207" "Montgomery College branch campus" 0 0
"1208" "Princess Anne " 0 0
"1209" "University of Maryland Eastern Shore" 0 0
"1210" "Salisbury " 0 0
"1211" "Salisbury University" 0 0
"1212" "Silver Spring " 0 0
"1213" "Montgomery College Takoma Park/Silver Spring campus" 0 0
"1214" "Howard University School of Continuing Education" 0 0
"1215" "Takoma Park " 0 0
"1216" "Washington Adventist University" 0 0
"1217" "Montgomery College " 0 0
"1218" "Takoma Park/Silver Spring Campus" 0 0
"1219" "Towson " 0 0
"1220" "Towson University" 0 0
"1221" "Goucher College" 0 0
"1222" "Westminster " 0 0
"1223" "McDaniel College" 0 0
"1224" "Massachusetts[edit]" 0 0
"1225" "Boston " 0 0
"1226" "Boston University" 0 0
"1227" "Boston College" 0 0
"1228" "Boston Conservatory" 0 0
"1229" "New England Conservatory" 0 0
"1230" "Brandeis University" 0 0
"1231" "Northeastern University" 0 0
"1232" "UMass Boston" 0 0
"1233" "Emmanuel College" 0 0
"1234" "Bunker Hill Community College" 0 0
"1235" "Roxbury Community College" 0 0
"1236" "Suffolk University" 0 0
"1237" "Simmons College" 0 0
"1238" "among many others" 0 0
"1239" "Bridgewater " 0 0
"1240" "Bridgewater State College" 0 0
"1241" "Brookline " 0 0
"1242" "Pine Manor College" 0 0
"1243" "Hellenic College" 0 0
"1244" "Newbury College" 0 0
"1245" "parts of Boston University" 0 0
"1246" "parts of Boston Collegepart of the Wheelock College campus" 0 0
"1247" "Northeastern University's Parsons Field" 0 0
"1248" "Boston Graduate School of Psychoanalysis" 0 0
"1249" "Cambridge " 0 0
"1250" "Harvard University" 0 0
"1251" "Massachusetts Institute of Technology" 0 0
"1252" "Lesley University" 0 0
"1253" "Cambridge College" 0 0
"1254" "Longy School of Music" 0 0
"1255" "Chestnut Hill " 0 0
"1256" "Boston College" 0 0
"1257" "The Colleges of Worcester Consortium:" 0 0
"1258" "Dudley " 0 0
"1259" "Nichols College" 0 0
"1260" "North Grafton " 0 0
"1261" "Cummings School of Veterinary Medicine at Tufts University" 0 0
"1262" "Paxton " 0 0
"1263" "Anna Maria College" 0 0
"1264" "Worcester " 0 0
"1265" "Assumption" 0 0
"1266" "Becker" 0 0
"1267" "Clark University" 0 0
"1268" "Holy Cross" 0 0
"1269" "Mass. College of Pharmacy & Health Sciences" 0 0
"1270" "Quinsigamond Community College" 0 0
"1271" "UMass Medical School" 0 0
"1272" "Worcester State University" 0 0
"1273" "Worcester Polytechnic Institute" 0 0
"1274" "Dartmouth " 0 0
"1275" "University of Massachusetts Dartmouth" 0 0
"1276" "Fitchburg " 0 0
"1277" "Fitchburg State College" 0 0
"1278" "The Five College Region of Western Massachusetts" 0 0
"1279" "Amherst " 0 0
"1280" "Amherst College" 0 0
"1281" "Hampshire College" 0 0
"1282" "University of Massachusetts Amherst" 0 0
"1283" "Northampton " 0 0
"1284" "Smith College" 0 0
"1285" "South Hadley " 0 0
"1286" "Mount Holyoke College" 0 0
"1287" "Framingham " 0 0
"1288" "Framingham State University" 0 0
"1289" "Leicester " 0 0
"1290" "Becker College" 0 0
"1291" "Lowell " 0 0
"1292" "University of Massachusetts Lowell" 0 0
"1293" "Medford " 0 0
"1294" "Tufts University" 0 0
"1295" "Newton " 0 0
"1296" "Boston College" 0 0
"1297" "Boston College Law School" 0 0
"1298" "Hebrew College" 0 0
"1299" "Mount Ida College" 0 0
"1300" "Lasell College" 0 0
"1301" "William James College" 0 0
"1302" "formerly Massachusetts School of Professional Psychology" 0 0
"1303" "North Adams " 0 0
"1304" "Massachusetts College of Liberal Arts" 0 0
"1305" "Quincy " 0 0
"1306" "Eastern Nazarene College" 0 0
"1307" "Somerville " 0 0
"1308" "Tufts University parts of the main campus" 0 0
"1309" "Springfield " 0 0
"1310" "American International College" 0 0
"1311" "Springfield College" 0 0
"1312" "Western New England College" 0 0
"1313" "Waltham " 0 0
"1314" "Bentley University" 0 0
"1315" "Brandeis University" 0 0
"1316" "Wellesley " 0 0
"1317" "Wellesley College" 0 0
"1318" "Westfield " 0 0
"1319" "Westfield State University" 0 0
"1320" "Williamstown " 0 0
"1321" "Williams College" 0 0
"1322" "Michigan[edit]" 0 0
"1323" "Adrian " 0 0
"1324" "Adrian College" 0 0
"1325" "Siena Heights University" 0 0
"1326" "Albion " 0 0
"1327" "Albion College" 0 0
"1328" "Allendale " 0 0
"1329" "Grand Valley State University" 0 0
"1330" "Alma " 0 0
"1331" "Alma College" 0 0
"1332" "Ann Arbor " 0 0
"1333" "Concordia University" 0 0
"1334" "Cleary University" 0 0
"1335" "University of Michigan" 0 0
"1336" "Berrien Springs " 0 0
"1337" "Andrews University" 0 0
"1338" "Big Rapids " 0 0
"1339" "Ferris State University" 0 0
"1340" "Dearborn " 0 0
"1341" "University of Michigan–Dearborn" 0 0
"1342" "Henry Ford College" 0 0
"1343" "Concordia University Dearborn Center" 0 0
"1344" "Central Michigan University" 0 0
"1345" "Detroit :" 0 0
"1346" "Boston–Edison Historic District " 0 0
"1347" "Sacred Heart Major Seminary" 0 0
"1348" "Downtown " 0 0
"1349" "University of Detroit Mercy School of Law" 0 0
"1350" "Fitzgerald " 0 0
"1351" "Marygrove College" 0 0
"1352" "Midtown " 0 0
"1353" "Wayne State University" 0 0
"1354" "University District " 0 0
"1355" "University of Detroit Mercy" 0 0
"1356" "East Lansing " 0 0
"1357" "Michigan State University" 0 0
"1358" "Flint " 0 0
"1359" "Kettering University" 0 0
"1360" "University of Michigan-Flint" 0 0
"1361" "Genoa Township " 0 0
"1362" "Cleary University main campus" 0 0
"1363" "Grand Rapids " 0 0
"1364" "Aquinas College" 0 0
"1365" "Calvin College" 0 0
"1366" "Cornerstone University" 0 0
"1367" "Kuyper College" 0 0
"1368" "Thomas M. Cooley Law School satellite campus" 0 0
"1369" "Northwood Universitysatellite campus" 0 0
"1370" "Grand Valley State University satellite campus" 0 0
"1371" "Ferris State University" 0 0
"1372" "Western Michigan University satellite campus" 0 0
"1373" "Grand Rapids Campus of the Michigan State University College of Human Medicine" 0 0
"1374" "Hillsdale " 0 0
"1375" "Hillsdale College" 0 0
"1376" "Holland " 0 0
"1377" "Hope College" 0 0
"1378" "Houghton " 0 0
"1379" "Michigan Technological University" 0 0
"1380" "Kalamazoo " 0 0
"1381" "Western Michigan University" 0 0
"1382" "Kalamazoo College" 0 0
"1383" "Lansing " 0 0
"1384" "Western Michigan University Cooley Law School" 0 0
"1385" "Marquette " 0 0
"1386" "Northern Michigan University" 0 0
"1387" "Midland " 0 0
"1388" "Northwood University" 0 0
"1389" "Mount Pleasant " 0 0
"1390" "Central Michigan University" 0 0
"1391" "Olivet " 0 0
"1392" "Olivet College" 0 0
"1393" "Saginaw " 0 0
"1394" "Saginaw Valley State University" 0 0
"1395" "Sault Ste. Marie " 0 0
"1396" "Lake Superior State University" 0 0
"1397" "Spring Arbor " 0 0
"1398" "Spring Arbor University" 0 0
"1399" "Sterling Heights" 0 0
"1400" "Ypsilanti " 0 0
"1401" "Eastern Michigan University" 0 0
"1402" "Warren " 0 0
"1403" "Davenport University satellite campus" 0 0
"1404" "Warren Center for Central Michigan University" 0 0
"1405" "Wayne State University's Advanced Technology Education Center" 0 0
"1406" "Minnesota[edit]" 0 0
"1407" "Bemidji " 0 0
"1408" "Bemidji State University" 0 0
"1409" "Crookston " 0 0
"1410" "University of Minnesota Crookston" 0 0
"1411" "Duluth " 0 0
"1412" "University of Minnesota Duluth" 0 0
"1413" "Lake Superior College" 0 0
"1414" "The College of St. Scholastica" 0 0
"1415" "University of Wisconsin–Superior" 0 0
"1416" "Duluth Business University" 0 0
"1417" "Faribault " 0 0
"1418" "South Central College" 0 0
"1419" "Mankato " 0 0
"1420" "Minnesota State University" 0 0
"1421" "Mankato" 0 0
"1422" "Marshall " 0 0
"1423" "Southwest Minnesota State University" 0 0
"1424" "Minneapolis " 0 0
"1425" "University of Minnesota" 0 0
"1426" "Augsburg University" 0 0
"1427" "Minneapolis College of Art and Design" 0 0
"1428" "North Central University" 0 0
"1429" "Minneapolis Community and Technical College" 0 0
"1430" "Dunwoody College of Technology" 0 0
"1431" "Globe University/Minnesota School of Business" 0 0
"1432" "St. Mary's University of Minnesota" 0 0
"1433" "Capella University" 0 0
"1434" "Walden University" 0 0
"1435" "Metropolitan State University" 0 0
"1436" "University of St. Thomas" 0 0
"1437" "Moorhead " 0 0
"1438" "Minnesota State University" 0 0
"1439" "Moorhead" 0 0
"1440" "Concordia College" 0 0
"1441" "Morris " 0 0
"1442" "University of Minnesota Morris" 0 0
"1443" "Northfield " 0 0
"1444" "Carleton College" 0 0
"1445" "St. Olaf College" 0 0
"1446" "North Mankato " 0 0
"1447" "South Central College" 0 0
"1448" "Pine City " 0 0
"1449" "Pine Technical and Community College" 0 0
"1450" "Rochester " 0 0
"1451" "Mayo Medical School" 0 0
"1452" "St. Cloud " 0 0
"1453" "St. Cloud State University" 0 0
"1454" "The College of St. Scholastica" 0 0
"1455" "St. Joseph " 0 0
"1456" "College of Saint Benedict" 0 0
"1457" "Saint Paul " 0 0
"1458" "Saint Catherine University" 0 0
"1459" "Concordia University" 0 0
"1460" "Hamline University" 0 0
"1461" "Macalester College" 0 0
"1462" "University of St. Thomas" 0 0
"1463" "Metropolitan State University" 0 0
"1464" "Saint Paul College" 0 0
"1465" "Mitchell Hamline School of Law" 0 0
"1466" "St. Peter " 0 0
"1467" "Gustavus Adolphus College" 0 0
"1468" "Winona " 0 0
"1469" "Winona State University" 0 0
"1470" "St. Mary's University of Minnesota" 0 0
"1471" "Mississippi[edit]" 0 0
"1472" "Blue Mountain " 0 0
"1473" "Blue Mountain College" 0 0
"1474" "Cleveland " 0 0
"1475" "Delta State University" 0 0
"1476" "Clinton " 0 0
"1477" "Mississippi College" 0 0
"1478" "Columbus " 0 0
"1479" "Mississippi University for Women" 0 0
"1480" "Hattiesburg " 0 0
"1481" "University of Southern Mississippi" 0 0
"1482" "Holly Springs " 0 0
"1483" "Rust College" 0 0
"1484" "Itta Bena " 0 0
"1485" "Mississippi Valley State University" 0 0
"1486" "Jackson " 0 0
"1487" "Jackson State University" 0 0
"1488" "Millsaps College" 0 0
"1489" "Belhaven University" 0 0
"1490" "Mississippi College School of Law" 0 0
"1491" "Laurel " 0 0
"1492" "Southeastern Baptist College" 0 0
"1493" "Oxford " 0 0
"1494" "University of Mississippi" 0 0
"1495" "Southaven " 0 0
"1496" "University of Mississippi" 0 0
"1497" "Northwest Mississippi Community College" 0 0
"1498" "Starkville " 0 0
"1499" "Mississippi State University" 0 0
"1500" "Tougaloo " 0 0
"1501" "Tougaloo College" 0 0
"1502" "Missouri[edit]" 0 0
"1503" "Bolivar " 0 0
"1504" "Southwest Baptist University" 0 0
"1505" "Cape Girardeau " 0 0
"1506" "Southeast Missouri State University" 0 0
"1507" "Columbia " 0 0
"1508" "University of Missouri" 0 0
"1509" "Stephens College" 0 0
"1510" "Columbia College" 0 0
"1511" "Fayette " 0 0
"1512" "Central Methodist University" 0 0
"1513" "Fulton " 0 0
"1514" "Westminster College" 0 0
"1515" "William Woods University" 0 0
"1516" "Kirksville " 0 0
"1517" "Truman State University" 0 0
"1518" "A. T. Still University" 0 0
"1519" "Maryville " 0 0
"1520" "Northwest Missouri State University" 0 0
"1521" "Rolla " 0 0
"1522" "Missouri University of Science and Technology" 0 0
"1523" "Warrensburg " 0 0
"1524" "University of Central Missouri" 0 0
"1525" "Montana[edit]" 0 0
"1526" "Billings " 0 0
"1527" "Montana State University Billings" 0 0
"1528" "Rocky Mountain College" 0 0
"1529" "Yellowstone Baptist College" 0 0
"1530" "Bozeman " 0 0
"1531" "Montana State University" 0 0
"1532" "Butte " 0 0
"1533" "Montana Tech" 0 0
"1534" "Dillon " 0 0
"1535" "University of Montana Western" 0 0
"1536" "Great Falls " 0 0
"1537" "University of Great Falls" 0 0
"1538" "Great Falls College Montana State University" 0 0
"1539" "Havre " 0 0
"1540" "Montana State University–Northern" 0 0
"1541" "Helena " 0 0
"1542" "Carroll College" 0 0
"1543" "Helena College University of Montana" 0 0
"1544" "Missoula " 0 0
"1545" "University of Montana" 0 0
"1546" "Nebraska[edit]" 0 0
"1547" "Bellevue " 0 0
"1548" "Bellevue University" 0 0
"1549" "Chadron " 0 0
"1550" "Chadron State College" 0 0
"1551" "Crete " 0 0
"1552" "Doane College" 0 0
"1553" "Fremont " 0 0
"1554" "Midland University" 0 0
"1555" "Hastings " 0 0
"1556" "Hastings College" 0 0
"1557" "Kearney " 0 0
"1558" "University of Nebraska at Kearney" 0 0
"1559" "Lincoln " 0 0
"1560" "University of Nebraska at Lincoln" 0 0
"1561" "Nebraska Wesleyan University" 0 0
"1562" "Bryan College of Health Sciences" 0 0
"1563" "Omaha " 0 0
"1564" "Creighton University" 0 0
"1565" "Clarkson College" 0 0
"1566" "College of Saint Mary" 0 0
"1567" "Grace University" 0 0
"1568" "Nebraska Methodist College" 0 0
"1569" "Peru " 0 0
"1570" "Peru State College" 0 0
"1571" "Seward " 0 0
"1572" "Concordia University" 0 0
"1573" "Wayne " 0 0
"1574" "Wayne State College" 0 0
"1575" "York" 13 588.97
"1576" "Nebraska " 0 0
"1577" "York College" 0 0
"1578" "Nevada[edit]" 0 0
"1579" "Henderson " 0 0
"1580" "Nevada State College" 0 0
"1581" "National University" 0 0
"1582" "Roseman University of Health Sciences" 0 0
"1583" "Touro University Nevada" 0 0
"1584" "Incline Village " 0 0
"1585" "Sierra Nevada College" 0 0
"1586" "Las Vegas " 0 0
"1587" "University of Nevada" 0 0
"1588" "Las Vegas" 7 164.34
"1589" "North Las Vegas " 0 0
"1590" "Cheyenne Campus of the College of Southern Nevada" 0 0
"1591" "Reno " 0 0
"1592" "University of Nevada" 0 0
"1593" "Reno" 0 0
"1594" "New Hampshire[edit]" 0 0
"1595" "Concord " 0 0
"1596" "NHTI" 0 0
"1597" "Concord's Community College" 0 0
"1598" "Granite State College" 0 0
"1599" "University of New Hampshire School of Law" 0 0
"1600" "Franklin Pierce University Doctorate of Physical Therapy program" 0 0
"1601" "Durham " 0 0
"1602" "University of New Hampshire" 0 0
"1603" "Hanover " 0 0
"1604" "Dartmouth College" 0 0
"1605" "Henniker " 0 0
