"index" "college" "visits" "amount"
"182" "Irvine University College of Law" 0 0
"183" "Chico " 0 0
"184" "California State University" 0 0
"185" "Chico" 14 973.01
"186" "Cal Northern School of Law" 0 0
"187" "Chino Hills " 0 0
"188" "Biola University " 0 0
"189" "Satellite Campus" 0 0
"190" "Chula Vista " 0 0
"191" "Southwestern College" 0 0
"192" "Claremont " 0 0
"193" "Claremont McKenna College" 0 0
"194" "Pomona College" 0 0
"195" "Harvey Mudd College" 0 0
"196" "Scripps College" 0 0
"197" "Pitzer College" 0 0
"198" "Keck Graduate Institute" 0 0
"199" "Claremont Graduate University" 0 0
"200" "Clovis " 0 0
"201" "San Joaquin College of Law" 0 0
"202" "Compton " 0 0
"203" "El Camino College" 0 0
"204" "Concord " 0 0
"205" "California State University" 0 0
"206" "East Bay satellite campus" 0 0
"207" "Corona" 0 0
"208" "Costa Mesa " 0 0
"209" "Orange Coast College" 0 0
"210" "Vanguard University" 0 0
"211" "Whittier Law School " 0 0
"212" "a satellite of Whittier College and National University satellite campus" 0 0
"213" "Cotati " 0 0
"214" "California State University" 0 0
"215" "Sonoma" 1 53.77
"216" "Daly City" 0 0
"217" "Davis " 0 0
"218" "University of California" 0 0
"219" "Davis" 5 304.6
"220" "Downey" 0 0
"221" "East Los Angeles" 0 0
"222" "El Cajon " 0 0
"223" "Cuyamaca College" 0 0
"224" "Grossmont College" 0 0
"225" "San Diego Christian College" 0 0
"226" "El Monte" 0 0
"227" "Elk Grove " 0 0
"228" "California Northstate University College of Pharmacy" 0 0
"229" "Escondido" 0 0
"230" "Fairfield " 0 0
"231" "Solano Community College" 0 0
"232" "satellite campuses of University of Phoenix" 0 0
"233" "Brandman University" 0 0
"234" "InterCoast Colleges" 0 0
"235" "and Embry Riddle Aeronautical University " 0 0
"236" "at Travis AFB" 0 0
"237" "Fontana" 0 0
"238" "Fremont " 0 0
"239" "University of Silicon Valley Law School" 0 0
"240" "Fresno " 0 0
"241" "Alliant International University" 0 0
"242" "California Christian College" 0 0
"243" "California State University" 0 0
"244" "Fresno" 0 0
"245" "Fresno Pacific University" 0 0
"246" "Kaplan College Fresno campus" 0 0
"247" "National University Fresno campus" 0 0
"248" "University of California" 0 0
"249" "San Francisco – Fresno Medical Education Program" 0 0
"250" "University of California" 0 0
"251" "Merced" 1 709.5
"252" "University of Phoenix" 0 0
"253" "Fullerton " 0 0
"254" "California State University" 0 0
"255" "Fullerton" 0 0
"256" "Western State College of Law at Argosy University" 0 0
"257" "Hope International University" 0 0
"258" "Marshall B. Ketchum University" 0 0
"259" "Fullerton College" 0 0
"260" "Garden Grove" 0 0
"261" "Glendale " 0 0
"262" "Glendale University College of Law" 0 0
"263" "Hawthorne " 0 0
"264" "Los Angeles Southwest College" 0 0
"265" "El Camino College" 0 0
"266" "Hayward " 0 0
"267" "California State University" 0 0
"268" "East Bay" 0 0
"269" "Huntington Beach " 0 0
"270" "Golden West College" 0 0
"271" "Indio " 0 0
"272" "California Desert Trial Academy College of Law" 0 0
"273" "Inglewood " 0 0
"274" "University of West Los Angeles" 0 0
"275" "Irvine " 0 0
"276" "University of California" 0 0
"277" "Irvine" 12 1934.79
"278" "Western State College of Law at Argosy University" 0 0
"279" "Isla Vista " 0 0
"280" "University of California" 0 0
"281" "Santa Barbara" 0 0
"282" "Lancaster " 0 0
"283" "University of Antelope Valley" 0 0
"284" "Antelope Valley College" 0 0
"285" "satellite campus of California State University" 0 0
"286" "Bakersfield" 0 0
"287" "Charter College" 0 0
"288" "La Mesa " 0 0
"289" "McMillan Academy of Law" 0 0
"290" "La Verne " 0 0
"291" "University of La Verne" 0 0
"292" "Loma Linda " 0 0
"293" "Loma Linda University" 0 0
"294" "Long Beach " 0 0
"295" "California State University" 0 0
"296" "Long Beach" 1 18.94
"297" "Pacific Coast University School of Law" 0 0
"298" "Los Angeles " 0 0
"299" "California State University" 0 0
"300" "Los Angeles" 0 0
"301" "California State University" 0 0
"302" "Northridge" 0 0
"303" "University of California" 0 0
"304" "Los Angeles" 0 0
"305" "Chatsworth " 0 0
"306" "University of West Los Angeles" 0 0
"307" "Downtown Los Angeles " 0 0
"308" "Peoples College of Law" 0 0
"309" "Mid-Wilshire " 0 0
"310" "Southwestern University School of Law" 0 0
"311" "Pico-Union " 0 0
"312" "Loyola Law School" 0 0
"313" "University Park " 0 0
"314" "University of Southern California" 0 0
"315" "Westchester " 0 0
"316" "Loyola Marymount University" 0 0
"317" "Malibu " 0 0
"318" "Pepperdine University" 0 0
"319" "Merced " 0 0
"320" "University of California" 0 0
"321" "Merced" 1 709.5
"322" "Modesto " 0 0
"323" "Humphreys College" 0 0
"324" "Moreno Valley " 0 0
"325" "Chapman University" 0 0
"326" "Moreno Valley College" 0 0
"327" "Murrieta " 0 0
"328" "University of Phoenix learning center" 0 0
"329" "Azusa Pacific University satellite campus" 0 0
"330" "Norwalk " 0 0
"331" "Cerritos College" 0 0
"332" "Oakland " 0 0
"333" "Lincoln University" 0 0
"334" "Oceanside " 0 0
"335" "Mira Costa College" 0 0
"336" "Ontario " 0 0
"337" "University of La Verne College of Law" 0 0
"338" "Orange " 0 0
"339" "Chapman University" 0 0
"340" "Pacific West College of Law" 0 0
"341" "Oxnard " 0 0
"342" "Oxnard College; California Lutheran University" 0 0
"343" "California State University" 0 0
"344" "Northridge" 0 0
"345" "ITT" 42 2110.25
"346" "University of Phoenix" 0 0
"347" "University of California" 0 0
"348" "Santa Barbara" 0 0
"349" "National University and Azusa Pacific University have satellite campuses " 0 0
"350" "Palmdale " 0 0
"351" "Chapman University satellite campus" 0 0
"352" "University of Antelope Valley" 0 0
"353" "University of La Verne satellite campus" 0 0
"354" "Palo Alto " 0 0
"355" "Stanford University" 0 0
"356" "Pasadena " 0 0
"357" "California Institute of Technology" 0 0
"358" "Pasadena City College" 0 0
"359" "Pacific Oaks College" 0 0
"360" "Pleasant Hill " 0 0
"361" "John F. Kennedy University" 0 0
"362" "Pomona " 0 0
"363" "Cal Poly Pomona" 0 0
"364" "Western University of Health Sciences and formerly Pomona College" 0 0
"365" "Rancho Cucamonga " 0 0
"366" "Chaffey College and satellite campuses of the University of La Verne" 0 0
"367" "Cambridge College" 0 0
"368" "University of Redlands" 0 0
"369" "Everest College" 0 0
"370" "and University of Phoenix" 0 0
"371" "Redding " 0 0
"372" "Simpson University" 0 0
"373" "National University" 0 0
"374" "Shasta Bible College and Graduate School" 0 0
"375" "California State University" 0 0
"376" "Chico branch campus" 0 0
"377" "Redlands " 0 0
"378" "University of Redlands" 0 0
"379" "Rialto" 0 0
"380" "Richmond" 1 21.12
"381" "Ridgecrest " 0 0
"382" "Pinnacles School of Law" 0 0
"383" "Riverside " 0 0
"384" "University of California" 0 0
"385" "Riverside" 0 0
"386" "California Baptist University" 0 0
"387" "La Sierra University" 0 0
"388" "California Southern Law School" 0 0
"389" "Rocklin " 0 0
"390" "Sierra College" 0 0
"391" "William Jessup University" 0 0
"392" "Roseville " 0 0
"393" "Brandman University extension campus " 0 0
"394" "Sacramento :" 0 0
"395" "East Sacramento " 0 0
"396" "California State University" 0 0
"397" "Sacramento" 0 0
"398" "Lincoln Law School of Sacramento" 0 0
"399" "Oak Park " 0 0
"400" "University of the Pacific" 0 0
"401" "McGeorge School of Law" 0 0
"402" "Salinas " 0 0
"403" "Hartnell College" 0 0
"404" "San Bernardino " 0 0
"405" "California State University" 0 0
"406" "San Bernardino" 0 0
"407" "American Sports University" 0 0
"408" "San Diego " 0 0
"409" "University of California" 0 0
"410" "San Diego" 13 78.17
"411" "San Diego State University" 0 0
"412" "California Western School of Law" 0 0
"413" "Thomas Jefferson School of Law" 0 0
"414" "University of San Diego" 0 0
"415" "Western Sierra Law School" 0 0
"416" "San Francisco " 0 0
"417" "University of California" 0 0
"418" "San Francisco" 8 1212.21
"419" "San Francisco State University" 0 0
"420" "California State University" 0 0
"421" "University of San Francisco" 0 0
"422" "Golden Gate University" 0 0
"423" "University of the Pacific Arthur A. Dugoni School of Dentistry" 0 0
"424" "San Francisco Law School" 0 0
"425" "University of California" 0 0
"426" "Hastings College of the Law" 0 0
"427" "San Jose " 0 0
"428" "Lincoln Law School of San Jose" 0 0
"429" "San Luis Obispo " 0 0
"430" "California Polytechnic State University" 0 0
"431" "University of San Luis Obispo School of Law" 0 0
"432" "San Marcos " 0 0
"433" "California State University San Marcos" 0 0
"434" "University of St. Augustine for Health Sciences" 0 0
"435" "Santa Ana " 0 0
"436" "Trinity Law School" 0 0
"437" "Santa Barbara " 0 0
"438" "Fielding Graduate University" 0 0
"439" "Santa Barbara City College" 0 0
"440" "University of California" 0 0
"441" "Santa Barbara" 0 0
"442" "Westmont College" 0 0
"443" "Santa Barbara College of Law" 0 0
"444" "Southern California Institute of Law" 0 0
"445" "Santa Clara " 0 0
"446" "Santa Clara University" 0 0
"447" "Santa Clarita " 0 0
"448" "California Institute of the Arts" 0 0
"449" "The Master's College" 0 0
"450" "College of the Canyons" 0 0
"451" "Santa Cruz " 0 0
"452" "University of California" 0 0
"453" "Santa Cruz" 0 0
"454" "Santa Monica " 0 0
"455" "Santa Monica College" 0 0
"456" "Santa Rosa " 0 0
"457" "Empire College" 0 0
"458" "Seaside " 0 0
"459" "Monterey College of Law" 0 0
"460" "Simi Valley" 0 0
"461" "Stanford " 0 0
"462" "Stanford University" 0 0
"463" "Stockton " 0 0
"464" "University of the Pacific" 0 0
"465" "Humphreys College-main campus" 0 0
"466" "Sunnyvale" 0 0
"467" "Temecula" 0 0
"468" "Torrance" 0 0
"469" "Thousand Oaks " 0 0
"470" "California Lutheran University" 0 0
"471" "Turlock " 0 0
"472" "California State University" 0 0
"473" "Stanislaus" 0 0
"474" "Vallejo " 0 0
"475" "Touro University California College of Osteopathic Medicine" 0 0
"476" "Ventura " 0 0
"477" "Santa Barbara College of Law" 0 0
"478" "Southern California Institute of Law" 0 0
"479" "Victorville" 0 0
"480" "Visalia " 0 0
"481" "Fresno State branch campus" 0 0
"482" "Chapman University branch campus" 0 0
"483" "Fresno Pacific University branch campus" 0 0
"484" "Brandman University branch campus" 0 0
"485" "San Joaquin Valley College" 0 0
"486" "Westminster" 0 0
"487" "West Covina" 0 0
"488" "Whittier " 0 0
"489" "Whittier College" 0 0
"490" "Rio Hondo College" 0 0
"491" "Colorado[edit]" 0 0
"492" "Alamosa " 0 0
"493" "Adams State College" 0 0
"494" "Aurora " 0 0
"495" "Columbia College–Aurora" 0 0
"496" "Ecotech Institute" 0 0
"497" "University of Colorado Denver at the Anschutz Medical Campus" 0 0
"498" "Colorado Community College System" 0 0
"499" "Boulder " 0 0
"500" "University of Colorado at Boulder" 0 0
"501" "Naropa University" 0 0
"502" "Colorado Springs " 0 0
"503" "United States Air Force Academy" 0 0
"504" "University of Colorado Colorado Springs]]" 0 0
"505" "Colorado College" 0 0
"506" "Colorado Technical University" 0 0
"507" "Denver " 0 0
"508" "University of Colorado Denver" 0 0
"509" "Metropolitan State University of Denver" 0 0
"510" "University of Denver" 0 0
"511" "Johnson & Wales University" 0 0
"512" "Regis University" 0 0
"513" "Durango " 0 0
"514" "Fort Lewis College" 0 0
"515" "Fort Collins " 0 0
"516" "Colorado State University" 0 0
"517" "Golden " 0 0
"518" "Colorado School of Mines" 0 0
"519" "Grand Junction " 0 0
"520" "Colorado Mesa University" 0 0
"521" "Greeley " 0 0
"522" "University of Northern Colorado" 0 0
"523" "Gunnison " 0 0
"524" "Western State College" 0 0
"525" "Lakewood " 0 0
"526" "Colorado Christian University" 0 0
"527" "Pueblo " 0 0
"528" "Colorado State University–Pueblo" 0 0
"529" "Connecticut[edit]" 0 0
"530" "Bridgeport " 0 0
"531" "St. Vincent's College" 0 0
"532" "University of Bridgeport" 0 0
"533" "Danbury " 0 0
"534" "Western Connecticut State University" 0 0
"535" "East Hartford " 0 0
"536" "Goodwin College" 0 0
"537" "Fairfield " 0 0
"538" "Fairfield University" 0 0
"539" "Sacred Heart University" 0 0
"540" "Farmington " 0 0
"541" "UConn Health" 0 0
"542" "Hamden " 0 0
"543" "Quinnipiac University" 0 0
"544" "Hartford " 0 0
"545" "Rensselaer at Hartford" 0 0
"546" "Trinity College" 0 0
"547" "University of Connecticut School of Law" 0 0
"548" "Middletown " 0 0
"549" "Wesleyan University" 0 0
"550" "New Britain " 0 0
"551" "Central Connecticut State University" 0 0
"552" "New Haven " 0 0
"553" "Yale University" 0 0
"554" "University of New Haven" 0 0
"555" "Southern Connecticut State University" 0 0
"556" "Albertus Magnus College" 0 0
"557" "Quinnipiac University" 0 0
"558" "New London " 0 0
"559" "Connecticut College" 0 0
"560" "US Coast Guard Academy" 0 0
"561" "Mitchell College" 0 0
"562" "Southington " 0 0
"563" "New England Baptist College" 0 0
"564" "Stamford " 0 0
"565" "University of Connecticut" 0 0
"566" "University of Bridgeport and Sacred Heart University branch campuses" 0 0
"567" "Storrs " 0 0
"568" "University of Connecticut" 0 0
"569" "Waterbury " 0 0
"570" "Post University" 0 0
"571" "University of Bridgeport " 0 0
"572" "Regional Campus" 0 0
"573" "University of Connecticut " 0 0
"574" "Regional Campus / Downtown Waterbury" 0 0
"575" "Western Connecticut State University " 0 0
"576" "Regional Campus" 0 0
"577" "Willimantic " 0 0
"578" "Eastern Connecticut State University" 0 0
"579" "West Hartford " 0 0
"580" "University of Hartford" 0 0
"581" "University of Saint Joseph" 0 0
"582" "University of Connecticut Greater Hartford campus" 0 0
"583" "West Haven " 0 0
"584" "University of New Haven" 0 0
"585" "Delaware[edit]" 0 0
"586" "Dover " 0 0
"587" "Delaware State University" 0 0
"588" "Wesley College" 0 0
"589" "Newark " 0 0
"590" "University of Delaware" 0 0
"591" "New Castle " 0 0
"592" "Wilmington University" 0 0
"593" "Wilmington " 0 0
"594" "Delaware College of Art & Design" 0 0
"595" "Drexel University – Wilmington Campus" 0 0
"596" "Springfield College – Wilmington Campus" 0 0
"597" "Widener University–Delaware Campus" 0 0
"598" "District of Columbia[edit]" 0 0
"599" "Washington" 9 347.86
"600" "D.C. " 0 0
"601" "Georgetown University" 0 0
"602" "Howard University" 0 0
"603" "American University" 0 0
"604" "the Catholic University of America" 0 0
"605" "Gallaudet University" 0 0
"606" "George Washington University" 0 0
"607" "Johns Hopkins University School of Advanced International Studies" 0 0
"608" "Trinity Washington University" 0 0
"609" "University of the District of Columbia" 0 0
"610" "Graduate School USA" 0 0
"611" "St. Paul's College" 0 0
"612" "Institute of World Politics" 0 0
"613" "Florida[edit]" 0 0
"614" "Ave Maria " 0 0
"615" "Ave Maria University" 0 0
"616" "Boca Raton " 0 0
"617" "Florida Atlantic University" 0 0
